Smell_Type,Severity,RandomForest,SVM,XGBoost
DeepNesting,1,0.8970588235294117,0.8929889298892989,0.8945454545454545
DeepNesting,2,0.8763250883392226,0.8813559322033899,0.9178082191780823
DeepNesting,3,0.8695652173913044,0.8802395209580839,0.9009009009009009
LargeClass,1,0.9510489510489509,0.9768976897689768,1.0
LargeClass,2,0.9554140127388536,0.9666666666666667,1.0
LargeClass,3,1.0,0.98989898989899,1.0
LongMethod,1,0.9130434782608696,0.8673835125448028,0.8865248226950356
LongMethod,2,0.8664495114006515,0.7770700636942677,0.8025477707006369
LongMethod,3,0.9085173501577287,0.8469055374592834,0.8421052631578949
LongParameterList,1,0.8934707903780069,0.9078014184397163,0.9295774647887323
LongParameterList,2,0.8040540540540541,0.8639455782312925,0.934640522875817
LongParameterList,3,0.8498402555910542,0.9012345679012346,0.9548387096774195
NoneSmellorUnknown,0,0.8847583643122676,0.983050847457627,0.9966555183946488
